SMILES;type
O=C(CCCN1CCC2(CC1)C(=O)N(Cc1cccc(F)c1)CN2c1ccccc1)c1ccc(F)cc1;SPE
CN(C)c1cccc(-c2c3c(=O)n(-c4ccccc4Cl)[nH]c3cc(=O)n2C)c1;SPE
N=c1[nH]c(=NC[C@H]2CC[C@H](CNS(=O)(=O)c3cccc4ccccc34)CC2)[nH]c2ccccc12;SPE
CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O;EOS
Cc1c(O)cccc1C(O)=N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(O)=NC(C)(C)C;SPE
CC(C)(C)c1ccccc1Oc1ncccc1N=C(O)Nc1ccc(OC(F)(F)F)cc1;EOS
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1;SPE
O=[N+]([O-])c1ccc(NN=Cc2sc(N3CCOCC3)nc2-c2ccccc2)c(S(=O)(=O)Nc2ccccc2Cl)c1;EOS
CN1CCN(C2CCN(C(O)=Nc3cc(Oc4ccc(N=C(O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1;SPE
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1;EOS
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12;DOM
Cc1ccc(C(O)=Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C;SPE
Nc1cnc(O)c2cc(-c3ccccc3)sc12;EOS
Cc1ccc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(N=C(O)c4cccc(C(F)(F)F)c4)ccc2C)C3)cn1;EOS
Cc1[nH]c(/C=C2\C(O)=Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1;SPE
N=c1ccc(C(O)=Nc2cccc(-c3nc(N4CCOCC4)c4oc5ncccc5c4n3)c2)c[nH]1;SPE
CC(C)(C)C(=O)/C(=C/c1cccc([N+](=O)[O-])c1)n1cncn1;EOS
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1;SPE
O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1;SPE
