CBDREGNO,SMILES,InChI Key,Type
1413,[2H]O[C@H]1C[C@H](OCC2(COCCCOC3CN([2H])C3)COC2)C1,QAPQIDOGVKPJFV-OQXBQZJTSA-N,Linker
2307,[2H]c1ccc(N2C[C@H]3C[C@@H]2CN3CC2CCN([2H])CC2)cc1,ZQMFJPRGXPPHAC-DRFYFIJVSA-N,Linker
4864,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOCC2)CN1,FEKCERXCVYUTPK-HYBUGGRVSA-N,Warhead
17963,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2F)C(=S)N1c1ccc(CCCC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)nc1,AKZRZJCUNURSNZ-UHFFFAOYSA-N,PROTAC
2056,[2H]O[C@H]1CC[C@@H](C(=O)N2CCN(C3CCN([2H])CC3)CC2)CC1,NTTPKMLXXWTEDA-WRPOOCLGSA-N,Linker
11701,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOCc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)C(C)(C)C)cc1,DMYWPOMOUYLXFS-WOPAXDDLSA-N,PROTAC
14481,CNCC#Cc1ccc(C2Oc3ccc(O)cc3C(C)=C2c2cccc(O)c2)cc1,RSYXAXMMNUPGEK-UHFFFAOYSA-N,Molecular Glue
8754,O=C1CCC(N2Cc3cc(O[C@H]4C[C@@H](N5CCC(CCOc6ccc([C@@H]7c8ccc(O)cc8CC[C@@H]7c7ccccc7)cc6)CC5)C4)ccc3C2=O)C(=O)N1,KJGSECMHDBYKEW-VMWSPCPISA-N,PROTAC
25132,NC(=O)c1cc2c(=O)n(CC(=O)NCCCCNC(=O)COc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)c(=O)n(C3CC3)c2nc1N,UVIMLBRFFJYCEW-UHFFFAOYSA-N,PROTAC
17668,COc1cc2nc([C@H]3CC[C@H](CN(C)CCCCNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)sc2cc1NC(=O)c1cccc(C(F)(F)F)n1,QKLSYESZQJYBEM-RZWCHVLBSA-N,PROTAC
16363,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OC(=O)NCCOCCCCCOCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,CNBCUOLHVCFAKM-RSVHLZKGSA-N,PROTAC
23728,COc1cc(COC(=O)Nc2cccc(C(C)(C)C)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,XOJODOCRJGRDAC-UHFFFAOYSA-N,Degrader
24938,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOCCC(=O)NCCCOC(=O)NC(Nc2ncccn2)C(Cl)(Cl)Cl)C(C)(C)C)cc1,BQQILUVLGKHSNJ-NWRQRLFSSA-N,PROTAC
16296,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O3)[C@H]2[C@@H](OC(=O)NCCCCCCCCCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,OVNJPFODOTXFLT-RRLVQAJZSA-N,PROTAC
3266,[2H]CCN1CCN(C(=O)CN2CCC(N[2H])CC2)CC1,JECYDOGHXRFGFE-PFUFQJKNSA-N,Linker
5777,CNC/C=C/C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,XZROHPMEDDFAMF-URZUPRTMSA-N,Warhead
2794,[2H]CC(=O)NCCCOCCN[2H],CMLUFLJXDNXJJR-PFUFQJKNSA-N,Linker
16409,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)c(OCCc2cn(CCCNC(=O)O[C@@H]3C[C@H](C)C=C4C=C[C@@H](C)[C@@H](CC[C@@H]5C[C@@H](O)CC(=O)O5)[C@@H]43)nn2)c1,VNKJLWKEDGKFNQ-MPPVSHHESA-N,PROTAC
4423,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1ccc(NC(=O)CCC(=O)O)cc1,WCDUQJCWOFBYTA-IZZNHLLZSA-N,Warhead
641,[2H]NCCOc1cccc(/C=C/C([2H])=O)c1,UYXSJQWOQAOTMY-JPQALZMOSA-N,Linker
5944,Oc1ccc(C2=C(CC(F)(F)F)CCCc3cc(O)ccc32)cc1,UMGSRCJXLVGBSS-UHFFFAOYSA-N,Warhead
11807,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCC[C@H]2C1CCN(C(=O)NC2CCN(CCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)CC1,AYBJLMNECWZUBG-NWDJCJOJSA-N,PROTAC
1173,[2H]C(=O)CC#CCCC([2H])=O,XDZJVMSGNVRVGL-QFIQSOQBSA-N,Linker
14913,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCN(C2CN(C(=O)c3cnc(C(=O)NC[C@@H](C)C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N[C@@H]4CCCc5ccccc54)C4CCCCC4)cn3)C2)CC1,QFOKFHORLQYRHC-LVWPAPGHSA-N,PROTAC
22318,O=C1CCC(N2Cc3cc(OCCOCCNc4cc(-c5ccc(-c6nc7ccc(F)cc7s6)cc5)ccn4)ccc3C2=O)C(=O)N1,KYDUNDFYNJYOLU-UHFFFAOYSA-N,Degrader
19520,O=C(Cn1c2ccccc2c2cccc(CO)c21)NCc1ccc(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,SLOWMSJPWGWVDI-UHFFFAOYSA-N,PROTAC
17738,CCN(c1cc(-c2ccc(CN3CCN(Cc4cn(CCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)nn4)CC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,RYARXMVSTHZUDT-UHFFFAOYSA-N,PROTAC
10031,CC1CC2(CCN(C(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)CC2)CN1c1ccc(C#N)c(Cl)c1,FSPXOFNPHVGEQK-UHFFFAOYSA-N,PROTAC
1125,[2H]C(=O)CCN(C)CC1CCN(C([2H])=O)CC1,JAPNWGFUMMMHBF-ZWFZLLPRSA-N,Linker
